# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854592598875e-10       7.806856265376e-15       5.603664762376e-13       4.801747822663e-15       8.291899420920e-09       4.689294453502e-10      -2.069961174048e-12 
    3       2.442172507327e-10       1.011713999251e-14       4.540116059444e-13       4.836831621881e-15       5.161903869206e-09       3.331254277374e-10      -1.657325343754e-12 
    4       2.251815788707e-10       9.681882414933e-15       3.881843741819e-13       4.207304236472e-15       3.594829935145e-09       2.523050516618e-10      -1.177728045998e-12 
    5       2.145315288134e-10       7.469296325195e-15       3.248958609322e-13       3.296507794489e-15       2.682936387089e-09       1.993468110060e-10      -7.494930441677e-13 
    6       2.075560817487e-10       4.912876502135e-15       2.623278567420e-13       2.392804705300e-15       2.093534886549e-09       1.622520813842e-10      -4.080014150463e-13 
    7       2.030037388551e-10       2.947519331620e-15       2.058527052742e-13       1.655106547853e-15       1.686539113961e-09       1.349877119051e-10      -1.621182060489e-13 
    8       2.000256745383e-10       1.817313568394e-15       1.590657258659e-13       1.136562905684e-15       1.392544563110e-09       1.142687082351e-10      -5.634552443427e-15 
    9       1.981875686883e-10       1.330408810776e-15       1.236112375929e-13       8.253275799398e-16       1.172379946474e-09       9.816432140319e-11       7.615876920603e-14 
   10       1.971659515159e-10       1.185504664080e-15       9.941697500530e-14       6.794870702803e-16       1.002214725604e-09       8.537790494002e-11       1.021558484283e-13 
   11       1.966544421482e-10       1.168675273242e-15       8.518077877615e-14       6.508756416852e-16       8.451521442913e-10       7.526860012756e-11       9.187065052097e-14 
   12       1.965780219040e-10       1.193005607374e-15       7.873830202233e-14       6.974963281172e-16       7.383382803162e-10       6.664296583660e-11       6.312310154205e-14 
   13       1.967968473444e-10       1.248870584748e-15       7.762189834972e-14       7.886174779983e-16       6.506662281724e-10       5.938568126393e-11       2.907299795603e-14 
