# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 100.018 h/Mpc,
# number of wavenumbers equal to 811
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.116730804492e+01 
       2.321812845909e-05       1.108985084195e+02 
       3.609173376214e-05       1.695112981813e+02 
       4.904439972694e-05       2.276638165639e+02 
       6.211104704304e-05       2.857256818074e+02 
       7.532746857735e-05       3.439709421843e+02 
       8.873064804492e-05       4.026320527389e+02 
       1.023590926816e-04       4.619218462471e+02 
       1.162531841578e-04       5.220447482678e+02 
       1.304555520066e-04       5.832034997809e+02 
       1.450114738458e-04       6.456037733382e+02 
       1.599693066204e-04       7.094011419341e+02 
       1.753809529236e-04       7.749194212310e+02 
       1.913023661048e-04       8.423455599046e+02 
       2.077940972509e-04       9.119280734161e+02 
       2.249218861034e-04       9.839327756742e+02 
       2.427572963948e-04       1.058645320318e+03 
       2.613783937365e-04       1.136373732302e+03 
       2.808704608154e-04       1.217450951830e+03 
       3.013267399410e-04       1.302237335723e+03 
       3.228491865615e-04       1.391123023054e+03 
       3.455492088576e-04       1.484530092758e+03 
       3.695483575494e-04       1.582914315504e+03 
       3.949789163640e-04       1.686766298385e+03 
       4.219843271948e-04       1.796611743516e+03 
       4.507193653102e-04       1.913010474743e+03 
       4.813499602484e-04       2.036553813649e+03 
       5.140525396193e-04       2.167859831080e+03 
       5.490127597171e-04       2.307566000676e+03 
       5.864234841229e-04       2.456318746048e+03 
       6.264818863382e-04       2.614759544203e+03 
       6.693855925968e-04       2.783507423069e+03 
       7.153278528514e-04       2.963137970086e+03 
       7.644918338936e-04       3.154159558149e+03 
       8.170442633386e-04       3.356987824107e+03 
       8.731288006756e-04       3.571920236033e+03 
       9.328596442615e-04       3.799112851417e+03 
       9.963159659543e-04       4.038561686621e+03 
       1.063537764581e-03       4.290091036375e+03 
       1.134523626239e-03       4.553350476671e+03 
       1.209230679194e-03       4.827821353036e+03 
       1.287576767919e-03       5.112832558365e+03 
       1.369444599257e-03       5.407605951322e+03 
       1.454687391959e-03       5.711265319182e+03 
       1.543135431684e-03       6.022810933224e+03 
       1.634602912099e-03       6.341236609079e+03 
       1.728894515478e-03       6.665526407426e+03 
       1.825811320550e-03       6.994678998203e+03 
       1.925155782887e-03       7.327727276484e+03 
       2.026735681319e-03       7.663753287083e+03 
       2.130367042364e-03       8.001898494922e+03 
       2.235876135455e-03       8.341370086135e+03 
       2.343100676636e-03       8.681443553420e+03 
       2.451890394377e-03       9.021462550363e+03 
       2.562107107073e-03       9.360837733717e+03 
       2.673624445823e-03       9.699042199600e+03 
       2.786327334635e-03       1.003560884414e+04 
       2.900111317649e-03       1.037012435095e+04 
